0,GasterBlaster,0,241,286,241,286,0,0.6,0.26666
0,GasterBlaster,0,241,346,241,346,0,0.6,0.26666
0,rnd,hyzq,4,,,,,,
0,BoneStab,$hyzq,75,0.6,3,,,,
1.2,JMPABS,RndAttack,,,,,,,
0,:Attack6Other,,,,,,,,
0,GasterBlaster,0,191,176,191,176,45,0.6,3
0,GasterBlaster,0,251,116,251,116,45,0.6,3
0,GasterBlaster,0,131,231,131,231,45,0.6,3
0,GasterBlaster,0,451,176,451,176,135,0.6,3
0,GasterBlaster,0,391,116,391,116,135,0.6,3
0,GasterBlaster,0,511,231,511,231,135,0.6,3
0,rnd,hyzq,4,,,,,,
0,BoneStab,$hyzq,75,0.6,3,,,,
1.2,JMPABS,RndAttack,,,,,,,
0,:Attack7,,,,,,,,
0,CombatZoneResizeInstant,179,226,404,391,,,,
0,HeartMode,0,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack7Other,$Side,,,,,,
0,HeartTeleport,320,304,,,,,,
0,SineBones,18,-20,300,55,,,,
0,SineBones,18,20,300,55,,,,
1.9,JMPABS,RndAttack,,,,,,,
0,:Attack7Other,,,,,,,,
0,HeartTeleport,260,304,,,,,,
0,sound,ding,,,,,,,
0.3,SineBones,18,20,300,80,,,,
0,SineBones,18,-20,300,80,,,,
1.9,JMPABS,RndAttack,,,,,,,
0,:Attack8,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack8Other,$Side,,,,,,
0,HeartTeleport,489,376,,,,,,
0,BoneVRepeat,345,364,20,0,120,6,76,
0,BoneVRepeat,297,280,82,2,120,6,76,
1.9,JMPABS,RndAttack,,,,,,,
0,:Attack8Other,,,,,,,,
0,HeartTeleport,168,376,,,,,,
0,BoneVRepeat,297,364,20,2,120,6,76,
0,BoneVRepeat,345,280,82,0,120,6,76,
1.9,JMPABS,RndAttack,,,,,,,
0,:End,,,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,,
0,EndAttack,,,,,,,,
0.6,SET,Loop,999,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,GasterBlaster,1,-40,450,625,450,180,0.6,0.23333
2,JMPNZ,231,$Loop,,,,,,
