0,CombatZoneResize,133,201,508,391,TLResume,,,
0.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.2,0.2
1,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,0,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,90,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartX,$HeartX,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,180,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,270,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,45,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartX,$HeartX,200,,,,,
0,SUB,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,135,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,ADD,HeartX,$HeartX,200,,,,,
0,ADD,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,225,0.7,0.08
0,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
0,ADD,HeartY,$HeartY,200,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,315,0.7,0.1
2,sound,ding,2,,,,,,
0,SansSlam,2,,,,,,,
0,SansBody,Right,,,,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,HeartMode,0,,,,,,,
0,GasterBlaster,0,133,0,133,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,153,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,173,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,193,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,213,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,233,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,253,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,273,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,293,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,313,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,333,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,353,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,373,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,393,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,413,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,433,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,453,151,90,0.1,0.4
0.1,GasterBlaster,0,133,0,473,151,90,0.1,0.4
1,EndAttack,,,,,,,,
0.6,SET,Loop,999,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,BoneH,-120,425,120,0,300,,,
0,BoneH,-120,435,120,0,300,,,
0,BoneH,-120,445,120,0,300,,,
0,BoneH,-120,455,120,0,300,,,
0,BoneH,-120,465,120,0,300,,,
1.8,JMPNZ,109,$Loop,,,,,,
























































































































999,EndAttack,,,,,,,,
